106234,Aslan,Karatsev,0.564088
105254,Nikola,Mektic,0.563274
104591,Patrick,Tierro,0.560549
104719,Marcel,Granollers,0.560047
144719,Jaume,Munar,0.559235
106175,Ricardo,Rodriguez,0.557406
105490,Jui Chen,Hung,0.556776
103908,Paul Henri,Mathieu,0.554658
105357,John,Millman,0.554568
103582,Michael,Berrer,0.551302
105575,Ricardas,Berankis,0.551135
103812,Victor,Hanescu,0.548468
103656,Albert,Montanes,0.547668
105807,Pablo,Carreno Busta,0.547634
104534,Dudi,Sela,0.545677
104695,Fritz,Wolmarans,0.544797
105963,Arthur,De Greef,0.543357
106281,Liam,Broady,0.541508
120792,M Abid Ali Khan,Akbar,0.53961
104424,Go,Soeda,0.536716
105583,Dusan,Lajovic,0.535454
111190,Zhizhen,Zhang,0.535031
106026,Yuki,Bhambri,0.534913
103813,Jarkko,Nieminen,0.533661
111797,Nicolas,Jarry,0.532982
126094,Andrey,Rublev,0.532247
105269,Marcelo,Demoliner,0.530369
105147,Tatsuma,Ito,0.52958
105217,Thiemo,De Bakker,0.527799
104349,Rui,Machado,0.527143
120401,Tucker,Vorster,0.523624
105877,Emilio,Gomez,0.522094
106043,Diego Sebastian,Schwartzman,0.521209
104233,Frederik,Nielsen,0.521094
123755,Daniel Elahi,Galan Riveros,0.520473
105156,Federico,Zeballos,0.516628
105512,Alexander,Sarkissian,0.515007
105542,Bastian,Trinker,0.514898
105177,Aditya,Hari Sasongko,0.514662
106045,Denis,Kudla,0.514545
105842,Di,Wu,0.511845
105182,Antso,Rakotondramanga,0.509854
105208,Ernests,Gulbis,0.509597
110602,Dennis,Novak,0.508352
104273,Edouard Roger,Vasselin,0.507873
105819,Guido,Andreozzi,0.505802
104547,Horacio,Zeballos,0.505686
104291,Malek,Jaziri,0.50546
104252,Florian,Mayer,0.50526
105325,Germain,Gigounon,0.500818
111805,Seong Chan,Hong,0.500719
106247,Nik,Razborsek,0.497564
111453,Mikael,Torpegaard,0.497032
104604,Ruben,Gonzales,0.492412
105063,Andrea,Arnaboldi,0.492347
103843,Marco,Chiudinelli,0.491109
108766,Samir,Iftikhar,0.488805
103888,Mardy,Fish,0.488467
103794,Benjamin,Becker,0.485083
106415,Yoshihito,Nishioka,0.484626
104467,Lamine,Ouahab,0.483083
105932,Nikoloz,Basilashvili,0.481043
104268,Alejandro,Falla,0.475563
105585,Ze,Zhang,0.472368
200273,Hady,Habib,0.470952
111200,Elias,Ymer,0.470367
111577,Jared,Donaldson,0.470237
105655,Hiroki,Moriya,0.465356
124063,Santiago,Maresca,0.464618
106148,Roberto,Carballes Baena,0.464136
105641,Blaz,Rola,0.463548
105271,Gonzalo,Escobar,0.462651
105004,Dimitar,Kutrovsky,0.461456
105441,John Patrick,Smith,0.461285
104619,Jesse,Huta Galung,0.461179
104932,Kenny,De Schepper,0.458998
104308,Michal,Przysiezny,0.458326
108768,Gabriel,Flores Ruiz,0.455475
105493,Tomislav,Brkic,0.455135
104897,Matthias,Bachinger,0.450189
104714,Julian,Reister,0.448454
105074,Ruben,Bemelmans,0.448264
104386,Janko,Tipsarevic,0.44712
104500,Somdev,Devvarman,0.446509
104022,Mikhail,Youzhny,0.445793
104804,Amir,Weintraub,0.444581
103188,Michael,Russell,0.441984
105586,Alexander,Lazov,0.441345
105229,Philip,Bester,0.440897
105436,Markus,Eriksson,0.436892
105626,Takanyi,Garanganga,0.436727
105339,Yan,Bai,0.433732
105935,Duilio,Beretta,0.433215
104563,Luca,Vanni,0.432295
103893,Paolo,Lorenzi,0.431652
104112,Benjamin,Balleret,0.428259
105065,Tim,Smyczek,0.427914
106198,Hugo,Dellien,0.426628
105154,Joao,Souza,0.425116
104868,James,Ward,0.424142
105292,Alejandro,Gonzalez,0.423671
103163,Tommy,Haas,0.423333
145022,Nour,Nehme,0.422269
104839,Yassine,Idmbarek,0.419401
105376,Peter,Gojowczyk,0.419293
105841,Lorenzo,Giustino,0.416564
105454,Brydan,Klein,0.416026
126205,Tommy,Paul,0.416026
104895,Abdullah,Maqdas,0.415867
121908,Naser,Al Obaidly,0.414252
105566,Shahin,Khaledan,0.413685
106032,Facundo,Arguello,0.413388
104095,David,Guez,0.411131
126152,Ryan,Shane,0.411131
105671,Gastao,Elias,0.410613
105827,Laurynas,Grigelis,0.409576
104603,Andrei,Ciumac,0.408201
103720,Lleyton,Hewitt,0.408067
111442,Jordan,Thompson,0.40765
126204,Gerardo,Lopez Villasenor,0.407606
104810,Zhe,Li,0.405835
106412,Lucas,Gomez,0.405636
144799,Miguel Angel,Este,0.405636
105550,Guido,Pella,0.404589
105047,Tim,Puetz,0.404418
106393,Frederico,Ferreira Silva,0.402703
105943,Federico,Gaio,0.401696
105936,Filip,Krajinovic,0.400612
111460,Quentin,Halys,0.393765
104873,Aleksandr,Nedovyesov,0.39351
108763,Alberto Emmanuel,Alvarado Larin,0.392548
104117,Giovanni,Lapentti,0.391656
106121,Taro,Daniel,0.390084
105270,Maxime,Teixeira,0.389768
104007,Andre,Ghem,0.389487
105430,Radu,Albot,0.389397
105872,Christian,Lindell,0.388111
105098,Alexandre,Sidorenko,0.385486
104979,Andrey,Golubev,0.38411
105281,Eric,Quigley,0.384109
105526,Jan Lennard,Struff,0.383048
105041,Lukas,Lacko,0.381797
126681,Dawood,Sayed Hashim,0.381654
106138,Yaraslau,Shyla,0.380578
127570,Rodrigo,Arus,0.379775
103967,Michael,Lammer,0.379389
105888,Toni,Androic,0.378233
105434,Ruan,Roelofse,0.376411
126646,Tim,Van Rijthoven,0.376132
123983,Nerman,Fatic,0.3761
132566,Dmitrii,Baskov,0.3761
200271,Egor,Matvievici,0.3761
111153,Christopher,Eubanks,0.375341
105250,Mehdi,Jdi,0.375
108747,Dineshkanthan,Thangarajah,0.375
108748,Lukas,Mugevicius,0.375
118591,Russell,Moseley,0.375
123965,Rodrigo,Banzer,0.375
127326,Ben,Fatael,0.375
200270,Alex,Knaff,0.375
106207,Mate,Pavic,0.373961
144707,Mikael,Ymer,0.373961
108779,Jacob,Rasolondrazana,0.372757
104783,Mikhail,Ledovskikh,0.371152
106325,Jabor,Al Mutawa,0.371152
111575,Karen,Khachanov,0.370065
122548,Edan,Leshem,0.36974
104822,N Vijay,Sundar Prashanth,0.367803
104997,Igor,Sijsling,0.367362
104882,Blaz,Kavcic,0.366583
107098,Gilles,Kremer,0.366247
108789,Rafa,Orantes,0.363727
105812,David,Agung Susanto,0.363605
106109,Alex,Bolt,0.362756
133301,Giovani,Samaha,0.359393
126207,Francis,Tiafoe,0.358378
106261,Dennis,Novikov,0.358186
106291,Luke,Saville,0.357592
105934,Chuhan,Wang,0.357466
105487,Facundo,Bagnis,0.357226
105497,Jose,Hernandez,0.355315
105633,Mohamed,Safwat,0.35523
103898,Julien,Benneteau,0.355099
