eg,ch
85431,73290
52305,77644
53889,77000
78102,125458
78330,79022
77776,80468
77726,79358
77916,89198
78508,89018
78218,88158
77634,88332
77092,89678
77558,74412
78252,89174
78110,79328
77240,88784
77016,77854
88750,90126
77266,87780
87630,77464
88640,78792
77106,87476
77408,92054
87756,95783
88038,95386
88380,95514
88378,95140
77540,95391
96914,94957
105586,94843
95629,94897
94003,93069
94980,95394
94649,95429
94883,95237
93846,95117
94146,94563
93958,94917
94185,97969
94122,93934
95058,95300
94268,75926
94375,79622
94165,88952
94157,90530
103446,78338
94529,79848
93880,78670
94520,76788
169181,76990
76902,75336
77520,78026
88828,77372
88898,78248
88992,76584
76960,88026
76966,77498
149542,87804
78020,77870
77100,78016
77980,77058
88578,76882
78204,89820
88318,89704
94665,77578
94445,77386
93824,89214
93615,79044
93903,88960
93828,90098
93779,78198
94365,77740
93709,78460
94966,77614
93477,78192
93914,89414
93557,77574
94000,77830
93549,130122
94102,96572
93966,92406
93834,93577
93852,94057
94123,93357
93429,94726
93862,93855
94103,93203
94726,91711
96086,94885
94458,92780
95523,92934
95065,94165
96052,92980
96185,94066
95138,94714
95126,92612
95575,92846
95272,93889
95169,92840
95734,92663
95972,94075
95406,92620
94957,93912
94472,94203
95188,93423
95297,145437
95243,96871
95575,91762
95260,93397
94966,93363
96138,93954
95591,93297
95328,95828
95803,91746
95539,94365
94817,91545
95728,94178
95535,77342
155818,88444
96145,78812
95563,87120
94840,76358
96043,77552
96551,76350
96293,132888
95452,92994
95373,95092
96014,94040
94483,91754
94594,95015
93787,92994
94211,94874
93723,95380
93928,94617
94058,143874
93723,93943
94731,92226
95520,95100
94623,93845
95495,92397
94457,93180
94415,93369
94810,93437
94517,93334
95160,95874
95506,91497
92937,93245
94123,93646
93791,91963
94080,92955
93783,93309
94017,92389
93742,95526
93766,96528
94160,93897
94311,93217
94000,95600
95451,91871
94511,93103
95889,95738
95134,93800
96422,144625
125862,95449
95303,93191
94822,94249
94651,93254
94151,93103
93857,94977
93699,93880
94188,94360
93546,92606
94772,94395
93680,92992
94191,93260
93971,95280
94067,93760
93494,93395
94529,95203
93760,93355
93742,91411
94043,94348
94557,92600
95997,93100
94623,93254
94154,92337
95012,96018
96697,96826
95720,92917
95082,94757
95209,90874
95832,95112
95071,91997
94157,93120
93699,94009
113766,92154
78144,92680
89050,94386
88976,92269
77394,93894
77396,94186
89100,92791
78514,95577
78152,94291
78564,92965
78030,93217
78212,93932
78184,91560
78520,96240
78616,95497
94914,92260
94742,93155
93454,94434
174740,92543
77882,94143
77072,93646
77606,92215
88086,94817
78120,88234
77168,87246
94754,86606
93992,88760
94349,137750
95055,89636
93972,89434
93862,89670
94432,88562
93908,89190
93186,90610
94200,88836
94120,89310
94551,90096
94714,77936
94057,78918
94971,90172
94626,76560
94209,90142
95431,89456
95757,88608
96125,79786
94285,92142
94445,87460
95128,87352
95817,88264
95680,87730
95120,193744
94491,87780
95668,76876
96437,108025
95500,88196
96209,78560
95342,89070
95800,76152
94486,133726
96380,79852
96523,77538
135040,91318
89504,78708
78344,86844
100246,90416
88734,90544
76500,87136
76280,89550
76216,93463
75992,96826
76768,96646
77756,91314
77570,94214
77860,96166
77350,97834
78392,91934
77540,93446
78174,94086
88510,92565
78330,96022
77210,97720
47901,97815
46770,92026
46484,93037
45751,95858
46236,93908
76962,96049
76972,97480
77102,94943
86878,91775
76144,93085
75950,94212
76878,93457
76550,96212
76092,94680
87408,94083
87040,93885
87468,94780
78728,92626
78142,93248
76896,93680
88184,92000
88382,92294
88896,93829
90388,92583
78982,91746
94172,93608
94409,92734
94237,93674
94883,94840
94240,92440
94320,93451
94289,94312
93874,90688
93923,97497
94049,94486
94083,92972
77424,93500
77684,93908
46201,93274
46428,97217
185339,96263
43765,92211
78018,92788
88488,93600
80646,95128
113778,92234
76220,94297
75830,95871
77050,91171
78328,94292
88420,95154
77142,151237
89490,95609
78856,94423
78630,92266
77974,94297
88974,93806
87130,91586
78372,93791
78356,93960
77022,92620
77524,94569
87692,94342
77834,91954
88366,92923
78862,93703
77442,93385
78076,96320
87934,97891
89560,95134
88528,163085
79460,78020
77772,90118
95200,76954
95443,89190
95040,89542
94376,88970
94091,87756
94157,79652
94180,77100
94232,78946
94712,80034
94869,88278
95397,88730
95694,89824
95417,77254
76850,87920
76514,88974
86812,92892
87350,77770
87570,90012
76070,77772
87284,78360
76294,87292
87644,88370
87728,78410
87442,76612
87360,87698
87650,77534
87360,79660
87606,119562
76590,77966
86818,89808
87890,77050
87548,78436
87598,89804
87970,88756
87780,88772
87504,90040
88532,77774
88780,77864
89480,79334
88862,78410
77812,77492
78326,80438
78568,93480
89342,96926
89904,94240
89046,97054
89524,91563
88490,93451
78434,95942
88876,98403
94783,92765
94955,93737
94854,94589
94654,137920
95291,96834
94751,95935
95229,91769
95300,93574
94634,94257
95734,92446
94938,95509
95552,98417
77302,97360
133360,105523
78692,94723
77082,93334
77430,93477
77680,95951
77298,95077
78398,91474
78470,94343
79266,93157
78174,143700
94443,95794
94397,92360
93571,93786
110054,93760
93934,93285
93463,93426
93994,93511
93628,92460
95177,92691
95597,94283
96102,93012
95019,93394
95372,94314
94963,91963
96423,93514
95917,94217
95343,90526
94800,94491
77230,93317
77362,95055
88830,91911
78176,92943
77126,94372
77660,92754
76888,93400
77940,93894
88822,92560
79256,146285
77164,79238
78248,87412
77356,78494
88838,90582
87566,89130
129150,81688
77254,77010
78246,77514
77394,152210
88044,77898
76156,91236
86934,82594
76346,81168
76830,78286
76224,89466
87474,77762
87168,77364
75706,81178
87644,78660
76214,77920
75908,89052
86888,89482
76390,77178
87666,80406
76332,79088
87238,77890
75998,78756
87082,92680
76176,94995
87412,95929
88372,97148
76714,96400
76474,91563
76180,94311
86676,94909
88630,92703
77904,95429
88884,95032
78214,92663
88212,93120
78602,94174
88964,92295
78778,92534
78406,94489
78614,92083
87200,146391
76670,96560
88060,92743
76532,95165
88044,93889
76374,94034
76362,76840
87256,79306
132592,87318
88986,76978
87848,75688
88874,78092
93902,77436
93860,78054
93863,76324
93606,76528
93940,77702
93532,111074
93623,93702
94074,142737
94106,94603
93809,93877
93875,93614
93771,94421
93866,93646
94280,94162
93580,94875
96431,93814
94835,93348
95874,94720
93805,95120
94425,92381
95160,93423
94812,94534
94286,92911
94817,93259
95291,94469
94291,92538
93929,93123
93843,95418
94246,92608
94215,93496
110874,97131
94168,92466
93766,93360
94171,94424
94403,92377
94635,169783
94375,95571
94420,93529
94551,92848
94174,95771
94429,91526
93403,92937
103120,95382
94845,92086
95723,94614
94946,95035
96009,92117
95203,93234
94662,94145
95165,93234
95634,93009
143668,93656
94617,92058
93800,93972
94260,93774
93997,94623
94585,92462
96277,94331
95774,93043
94543,93186
94460,93795
154383,92883
78070,91563
76996,94314
77108,92574
77128,93538
78078,94394
77248,92600
78408,92840
77572,94108
77102,93597
76256,95355
76416,95869
87482,94092
76152,92469
76146,93269
87842,94180
87780,94920
76838,92911
76482,92995
87598,138203
87678,93277
76396,92745
76180,94571
76506,91733
76570,97865
76672,95392
87628,92303
76328,92965
75840,94336
76288,94899
76512,92577
76118,92422
76230,94225
