eg,ch
2233,6987
3305,12518
5726,8620
6046,18703
5816,12101
5718,13551
5978,11509
5768,8967
5696,9683
5788,11221
5798,8203
6150,6684
5908,9826
6198,13407
7294,10603
7357,9294
6106,11442
6164,8123
5954,6894
5940,9242
6340,7225
8846,14742
5556,8619
5710,12601
5722,12554
5846,9010
5868,10534
9826,10854
6096,8109
5980,12348
5838,12023
5776,13078
5890,9127
6092,9166
5966,9313
6014,14066
5864,11311
6122,10005
5992,9300
5834,9336
7917,9550
7126,7144
7074,10246
7014,19110
7000,9800
6900,9902
6811,9079
7003,9541
6954,7348
6871,7249
7462,13279
7166,8970
16746,30533
6076,7631
5838,12280
5850,8403
5964,13260
6010,11033
5900,8558
5852,11058
5892,8297
5890,12320
7548,10113
15945,7128
5768,6401
5636,7271
5782,10709
5904,11584
5614,9386
5790,9149
5798,11857
6392,7972
7074,12361
7315,8204
7246,7086
7220,29289
7212,22965
7222,11954
7157,10520
7343,13493
7408,10015
7177,8692
6898,8085
6977,13447
7160,7715
6960,7172
7006,11227
7054,14064
7165,9634
7048,8691
7083,8087
7037,8462
7043,9482
7023,10570
6992,15419
6814,12863
7143,9586
6831,11677
7055,9596
7034,10330
6957,10113
6938,8408
7072,9597
7003,7041
6934,11474
7065,11443
6900,10553
10809,10077
5810,14110
6188,10519
5854,10760
5686,10441
5838,14835
5912,11569
5724,9042
5778,7916
5930,11177
5610,11305
5838,10278
5806,8082
5738,14562
9268,9461
5852,6634
5894,6305
5948,6625
7626,8383
10320,7201
7148,6797
7160,6679
7442,10800
6917,9564
7077,13027
7063,7757
7117,13488
7197,9504
6943,8519
7077,8588
7091,8944
6920,8150
7123,10343
7134,11821
6934,22739
7035,12128
7643,11921
7094,10615
7117,10279
7091,9642
7509,9739
7094,9001
7158,10113
7145,9781
7437,10031
7120,8489
7323,8701
7060,10557
7096,10563
7046,8439
7068,12365
6989,9391
7071,8268
7068,8301
7163,8482
7071,10070
7040,9135
7336,9222
7260,9703
7188,9519
7386,9949
7186,12808
7334,11572
7294,12770
7308,7896
7397,9155
7216,17799
7412,11465
7368,7568
7052,11566
7203,9979
7571,11376
7166,11979
11243,10866
7251,11031
7157,14598
7474,7212
7275,12084
7266,8477
7411,7847
7314,8465
7266,7067
7265,12834
7205,12789
7259,12219
7469,8811
7263,9728
7597,9381
7349,8686
7335,9050
7152,9840
7083,9838
7431,11991
7246,10118
6122,14593
5532,9889
9580,9462
3566,8602
6228,7497
3371,8247
3245,7483
4742,7387
3054,7989
3121,9158
3293,9207
5664,9136
5372,17634
3230,11276
3296,9274
