eg,ch
1269,2103
1354,1743
2164,1746
2155,1744
2154,1709
2148,1745
2155,1759
2156,1744
2155,1744
2156,1939
2151,1792
2141,1742
2577,1747
2441,1756
2104,1743
2146,1745
2146,1746
2140,1745
2140,1726
2140,1723
2145,1793
1443,1744
2488,1753
2445,1745
2442,1745
2444,1747
2441,1769
2442,1695
2443,1742
2432,1747
2439,1736
2584,1748
2246,1742
2149,1761
2146,1743
2145,1743
2144,1744
2141,1747
2145,1736
2144,1744
2146,1746
2437,1728
2439,1743
2443,1741
2449,2267
2441,1473
2442,1029
2442,1743
2439,1742
2443,1743
2443,1744
2818,1734
2176,1745
2146,1721
2386,1734
2146,1743
2147,1773
2146,1727
2161,1743
2145,1738
2146,1744
2442,1743
2471,1743
2444,1807
2443,1734
2189,1743
2144,1734
2146,1760
2147,1744
2360,1734
1662,1731
1590,1745
1479,1744
2466,1746
3159,1741
3272,1741
2491,1744
2504,1743
2493,1044
2500,1782
2493,1743
2568,1744
2434,1738
2557,1744
2431,1745
3522,1748
2151,1756
2141,1745
2141,1731
2140,1748
2427,1809
2431,1718
2508,1766
2474,1854
2442,1785
2445,1736
2439,1744
2441,1747
2441,1750
2443,1739
2441,1756
2441,1745
2444,1744
2462,1732
2144,1746
2145,1745
2444,1747
2423,1745
2439,1745
2441,1745
2444,1745
2440,1757
2577,1719
2444,1784
2440,1744
2443,1764
2140,1744
2144,1744
2145,1744
2091,1739
1440,1745
2146,1745
2433,1745
2499,1759
2443,1743
2442,1744
2430,1745
2602,1754
2377,1745
2441,1712
2441,1746
2461,1745
2030,1744
2403,1745
2440,1746
2441,1744
2441,1751
2441,1744
2574,1744
2442,1742
2431,1742
2442,1740
2253,1742
2408,1743
2491,1784
1404,1747
1326,1728
1287,1902
1249,1739
1250,1744
1250,1745
1249,1745
1267,1745
1262,1745
1263,1736
1277,1742
1270,1746
1279,1780
1260,1734
2256,1745
1967,1745
3771,1744
1558,1727
2436,1743
1472,1731
1381,1735
1417,1746
1324,1743
1290,1734
1252,1832
1582,1790
5634,1742
1253,1744
1379,1743
1252,1746
1250,1743
1256,1745
1271,1746
2318,1744
2281,1744
2153,1753
2149,1758
1450,1745
2154,1743
2149,1732
2161,1760
2156,1745
2156,1731
2457,1757
2413,1733
2439,1756
2363,1740
2457,1742
2434,1781
2440,1746
2440,1735
2448,1744
2443,1745
2506,1735
2480,1878
