eg,ch
46389163,29229492
44824355,37123651
49362378,36780119
56607940,28959932
46780037,28409641
47038634,28636396
46508611,29294627
47530939,28863328
47404634,28384977
45888512,28174477
44772722,28162182
44638160,29131184
44868166,28263546
48357622,28282509
47005652,29407533
45355118,31412440
44391254,29242004
45611777,28543203
47179308,28485073
46348740,28612308
65340845,29076142
47869445,28137513
44368251,28042591
45418821,36401075
44978996,34143709
47770285,36142454
46663319,28610565
45576516,28537764
45742241,35799761
46588816,33078172
46815248,28820640
45751028,30177052
53089886,28977958
49790440,29691327
49220660,29285800
67299365,29388048
48969917,29015833
52241222,29028951
47222216,30000229
45982913,29464016
47764891,29279289
60189195,28777300
55838787,35225306
47118458,29865490
46442257,28787751
45955656,28494936
46948746,28302438
47020892,32669640
49130012,28406365
48155929,29119283
47281591,28315765
47251109,28276209
47122572,28027992
49343556,28051007
56116638,28035116
55810598,28754284
57838038,28372862
51980153,28593918
46787877,28654858
55883485,28860543
74943770,28356203
49766098,29121145
47134296,30222432
54120351,29068912
46277988,29294486
48256391,29649315
46224285,28438696
46427689,29166303
54479836,28403681
48343362,28335366
51629270,29102217
44548775,29460510
49688676,30523044
43912479,36855185
44105553,29585274
43877365,29509231
44229785,29559553
43860544,28801429
52592805,31245777
45522720,28189218
43504458,28773036
43376036,29718412
43364774,28715697
48450671,29099660
72296522,30294983
43889077,28814641
44039291,28635300
43903045,28934710
44186439,28937559
54110880,30063605
48226914,28470556
44480783,28627275
44428650,28759210
44687533,29177699
44462999,29555820
45486482,28847270
44380892,28993131
70494300,28850082
47306945,34402056
47688394,28872865
45478854,29158356
69937302,30316391
47769239,30140922
59138731,30072762
44541755,37793750
44717731,29804931
48409674,29185281
44978808,30256241
44073875,30357463
45829044,29687652
43511814,28179082
44159889,28521059
44791508,28461835
43960523,29213798
44861290,29549271
44043985,28958469
45937088,30068200
44386832,28501830
46861771,28713648
43470457,28695341
44750050,29033387
56929944,30648198
50434868,31407354
43203723,28582584
43739209,28403406
43580203,28252317
43617523,28466983
43466337,28687538
43830168,28386473
43359862,28866977
43902047,28009202
43698025,29870455
44069689,28739744
43573893,28696874
43621074,28520483
44364089,28605640
45035982,28167484
44272763,28421511
46181570,37542862
54443638,28771481
56925947,29116028
47229756,29017152
43851165,29101538
43842458,36682960
43858021,29746664
44979071,29839867
45299906,29061955
43593507,30122224
43442498,29513811
43302669,29129407
44351355,29717901
44942259,29418431
44224405,32991608
44758795,30752017
44152058,30783089
75410309,29411245
43571114,29297329
43570466,29144860
43581547,29812193
44229058,29703001
43684011,28726460
43639238,29265887
44533163,30180927
45464938,29504112
46977213,30582333
46413713,30538774
45813627,35809142
45890730,29078484
47334710,29752155
46535029,29197664
44214991,28594639
43789637,29414556
45204675,28739471
43691515,28813260
44900917,28499751
43816013,29154139
43863653,28930388
43634994,29214038
73255448,29432098
49190762,29323491
45069368,29256548
44645249,29950147
43774038,28838811
45108366,28807117
44753863,30077622
43687141,31965899
44531229,35658023
48996782,35203533
46882382,28875695
47093168,28577701
46260514,33281969
45703708,30287429
45046531,29311127
45935502,29737915
46609378,29541062
45713574,28308899
45374368,28848437
44826579,29193403
45678149,29334566
49653018,30078971
47726535,29993730
44469374,29712455
45795875,29325355
45334003,29297973
44808627,29348952
71440798,29602563
51956248,31237543
46881525,35404391
46574871,31094924
47081861,33895794
45618936,28788839
46237983,27631851
44173269,27806768
43802294,27851803
47959499,31741169
50204291,28056655
48945737,28110273
48724950,29551049
45189495,27686770
43503193,27730478
43266981,27729000
43762697,27742846
43474047,27991994
44461765,28518644
46323771,29218285
44016008,33055749
44668523,30443614
