eg,ch
50882,47485
48676,46905
51468,46608
50058,46401
52109,47569
51458,45321
48863,46913
49031,47752
51962,45762
55070,49227
51564,45341
49716,47042
52365,47111
50592,45555
50372,50748
52324,48434
51501,48547
109910,51334
434028,48218
747691,48821
153229,48008
92226,52388
93469,47477
94536,48055
91828,49141
92247,45851
90538,48202
90834,45927
91818,45882
91467,49453
99013,47031
90244,45824
92057,45890
91696,48983
90103,45859
94304,45884
91035,45843
91296,46157
98339,48561
91473,45893
95237,46394
95048,49280
96801,45904
90451,48598
89622,45977
94643,45466
93752,45904
92582,45859
90589,45843
90838,45830
96003,46195
96263,48613
93260,47062
92008,47485
95284,45898
92478,48102
92665,45812
90072,45810
90513,45826
90970,48925
90482,45879
94775,47747
97557,49597
94874,47141
93322,45842
89944,49627
95774,46965
98795,45892
92733,48892
92105,45810
93527,45809
95687,45870
90480,46202
90381,48803
90023,46039
93302,48879
91929,46983
94001,45890
96113,49074
92556,45712
92354,48687
91982,49698
92822,47626
90459,49178
98504,45923
92925,48274
94354,48783
96014,46995
91694,46159
95321,45870
91169,45866
89681,45898
95486,46154
91313,53440
92606,49911
91556,45814
90889,45861
91077,45861
91368,45920
93132,45852
93134,45709
94384,45903
92051,46123
92753,47917
90020,51514
90747,48088
98037,46974
91131,45884
91958,48085
93341,45942
92034,48923
94294,45897
96525,46380
95946,49426
89564,49088
93819,47097
91074,45995
96009,45832
93502,51169
89800,45978
93335,45883
91866,48679
94310,46915
93826,46390
93559,45960
92595,46253
93486,47108
111580,47557
92350,45914
91889,45443
93316,45867
94987,45899
92568,45835
100125,48039
90812,45919
91622,46378
93328,45881
91760,45930
93464,48100
91707,46702
102553,48048
103889,48095
99417,45890
98547,48043
95072,46535
92440,49057
96905,45863
91799,48052
97686,45757
94176,46131
102188,45763
94454,45864
92585,46079
92885,48071
93640,47744
93102,46455
94072,49062
93896,45817
90481,45830
100425,48900
92443,45840
89887,45830
98451,45893
90053,45820
91551,46149
93889,45842
95590,46480
93287,46000
90406,49267
93063,45782
90833,45868
95306,45873
91408,45874
92497,45877
89719,49019
94449,45852
94985,48683
95798,48744
94820,47928
90724,47417
89482,45349
91643,45921
95480,46011
97888,45773
94282,48496
94781,46979
94521,45861
97238,46187
95844,48396
96449,45874
103241,45783
95043,45856
100905,48015
101127,45850
96414,47385
93693,47422
97454,45893
101091,46173
102346,45907
95276,49672
