eg,ch
52474288,38001725
50464032,36182128
48997296,35295532
48810317,36009685
50091780,35693799
49916068,41807664
53615047,35327483
49525644,35314475
52677408,35769890
50729184,35364146
50162401,35539484
53495586,35606236
53690591,35281580
52952496,35353939
49119858,35297149
50670188,35388672
50274867,35300203
50178300,35988954
50297682,36862887
50704568,37759846
48699779,35297493
50622360,35309829
54770732,35430458
50628101,35347385
49467601,38394350
50000449,38466318
62191598,35352728
54971102,35291312
51430850,35295892
50186092,38393206
54869312,35275301
49221749,35294719
58526492,39036680
52944392,36145362
50585945,36127715
49925906,35432003
52476158,38243997
49149321,35686976
48908975,35420839
48895845,35339723
50050840,35373864
50190041,35294879
54052537,35348048
50521717,35364855
49593617,39181036
51326163,35349591
50814574,36139152
48903191,36305113
49720350,38991387
49926322,35386232
