eg,ch
35565,85020
46101,80908
88804,90832
77712,90020
98982,90902
94873,81248
95003,89650
95154,88396
95560,89688
95647,88564
95569,89932
94566,89356
95407,77844
94710,78218
95037,76402
94969,89798
95462,78590
94360,89150
96126,77512
94763,88770
94867,88448
94477,77668
94181,77560
94400,78596
95305,88514
95880,90448
95104,79560
93591,89430
95662,89608
94588,88700
95689,88284
95295,88858
95741,83742
95379,78406
95323,82112
95148,90724
143840,88898
78040,78082
76236,89722
78370,89960
77405,78520
88372,90644
88362,88850
88920,78678
87783,91252
126687,77880
77303,81176
88402,78604
88625,77450
77520,78354
76900,131516
89375,79440
88383,88936
77140,80140
77842,95157
94696,95837
95547,93923
95065,95111
95628,98297
95541,95371
95834,95048
95766,96440
94329,93331
94415,95955
93302,97335
95818,97028
94034,94986
94591,95994
95203,93065
94508,91892
95013,96631
94948,93197
94117,94843
158864,94726
95191,96009
94378,93055
95711,93186
94338,94592
95384,92814
94634,95654
95139,95763
94557,94277
95467,94803
95696,95800
94286,94537
94588,94826
94400,95731
95739,143509
94730,95291
95738,94529
94261,95517
96385,95843
94717,94535
100363,95754
94760,93937
93957,91968
94465,94854
94369,79828
94693,79890
94930,77666
93487,78602
95708,90246
94989,78140
95560,77502
95237,79904
94466,78094
94677,88982
95923,79408
94469,77536
94425,78130
94966,78768
95462,79016
95293,76666
95132,79426
95748,89102
95474,80824
95849,80328
95594,78676
94215,89292
95049,89192
94449,78220
95166,90002
94135,79140
95548,77582
94629,89306
94465,89640
94772,88494
95397,78970
93788,89312
95133,88364
94474,90174
95945,89820
94896,88040
94763,89326
94129,95960
95317,96518
94532,93532
94493,94903
94677,95671
93225,94800
95565,94054
95323,95258
95369,145151
95277,95566
95560,93894
95247,94677
95135,95574
95570,94711
127510,94505
95726,96417
95640,96735
95151,93748
95926,95434
95630,96205
95520,93897
95326,93257
95595,93112
95271,94954
96302,95002
95382,94272
95154,94034
95095,97100
95403,96366
95430,93597
174520,95626
77476,95826
89242,94020
77680,94614
77668,95129
