eg,ch
8264347,1820605
3223102,1579022
3058437,1573982
2975030,1612214
2938646,1629359
3043811,1614181
2995386,1660155
3092551,1603786
2941740,1565008
3038931,1590325
3010771,1600464
3073834,1674844
3187063,1581535
2981713,1569261
3206417,1584995
3041111,1565382
2888474,1619103
2886660,1579633
2929807,1618608
2985685,1611831
3003865,1565487
2949755,1585740
2904103,1718402
2894016,1591150
2887377,1623251
2870883,1581788
2882791,1569419
2853619,1648116
2875974,1605014
2846248,1608463
2881042,1549570
2875344,1566949
2864870,1580816
2971954,1757487
2878781,1600480
2909776,1639326
2922485,1626320
3230759,1679291
3036564,1741316
3006133,1796703
2943010,1644911
2993312,1630235
4283155,1798470
2881485,1771342
2915953,1618868
2853640,1700468
2886814,1777212
2953583,1897975
2910369,1758805
2879109,1790691
2913601,1893399
2901580,1848647
2897020,1821470
3000547,1815859
2914027,1754904
2937845,2001046
2910507,1965583
3007586,1874876
2909216,2057014
2969320,2189335
3055298,2116158
2957617,1840769
3179166,1900593
2914403,2157718
2969779,1871582
4886406,1733816
3369027,2150343
4292808,2046423
5518977,1792173
4655714,2003941
3079250,1864773
3012691,1934337
3024824,1840267
3335682,1965835
2973061,1818832
3029014,2353677
2915115,1832036
2936321,4825169
2959170,2263467
2918940,1913681
2994955,1847938
2933451,1812886
2929031,2293341
3143004,2395636
3164160,1698919
3008134,1601187
3133176,1588171
3496436,1651786
2889976,1634949
3169666,1639609
3035013,1802886
2905989,1845178
2867441,2081347
2879121,1610719
2835339,1595271
2928280,1960149
2850216,1743268
2860786,1714535
2942970,1718348
2940375,1678432
2896288,1731320
2938301,1648759
2978779,1765356
2975480,1743962
2913159,1669727
3701890,1748079
4908833,1702578
4870496,1964614
4825856,2040612
5552998,1710171
4982581,1866633
4923662,1805373
2928437,1690778
2925151,2501901
2867747,1719838
2934985,1723924
2900961,1697458
2971370,1855781
2952979,1693769
3359673,1623893
3087613,1946258
2910952,2543665
2940677,1939214
2948447,1764366
2918867,1865670
3019533,2234727
3816438,2479702
4825506,1819575
5228099,2512479
3927001,2171300
2895157,1861862
2921965,1774493
2979025,1882585
3076652,1872118
3197881,1999580
3322134,2431045
3134287,2063290
3040461,1864459
3287620,1682851
3298884,1776857
3076046,1994658
3648142,1895665
3028024,1828184
4801122,1764357
5875521,2013928
5879962,2515870
5955038,1909223
5889292,1727207
2872069,1859705
2916916,1749023
