eg,ch
1835,3209
2059,2741
2895,2732
2103,2774
2252,2729
2177,2760
2169,2772
2237,3129
2419,2745
2173,2788
2501,2754
2500,2722
2246,2781
2201,2757
2478,2722
2201,2758
2246,2834
2188,2735
4613,2761
33610,2795
6649,2721
3016,2723
3271,2739
3050,2736
2990,2752
2920,2799
2957,2734
2973,2750
2869,2818
3674,2723
3017,2778
3354,2763
2944,2753
2992,2739
3492,2808
2980,2735
2949,2736
3214,2766
3270,2749
2972,2778
2949,2541
3064,2920
3280,2754
3279,2813
2946,2732
2944,2754
2864,2749
2866,2735
3001,2779
3498,2733
3020,3369
2860,2734
3362,2821
2968,2781
2944,3075
2942,2742
2970,2736
3145,2680
3272,2654
2954,2687
3655,3175
2948,3353
2981,2755
2948,2761
2959,2899
3107,2836
2936,2734
2950,2740
3536,2761
3104,3114
2952,2760
2858,2738
3106,2722
3056,2722
3942,3023
2950,2733
2979,2818
3255,3075
2997,3314
2956,2757
3105,2725
2970,3362
2952,2738
3263,2782
2923,2723
2948,3458
2955,2735
2975,2829
2875,2800
2886,2762
3614,3353
2981,2802
2945,2772
3273,3455
2970,3033
2862,3122
3128,2891
2895,2715
2954,2833
2974,3096
