eg,ch
2047780,2167005
2138287,2171130
3380090,2170163
2806161,2160592
2795028,2169132
2803345,2170540
2795404,2500704
2791810,2475448
2793342,2464236
2788647,2462276
2788959,2464147
2136640,2158185
2785460,2159627
2774184,2153827
2772135,2160520
2772677,2154724
2771896,2434390
2775273,2461816
3340097,2604953
2787499,2465057
3716336,2464132
3141374,2157324
2774459,2166159
2734640,2161814
3478197,2169777
2785548,2158197
3712800,2239056
3137767,2170956
2576764,2290597
2797622,1472721
3008115,2160462
2775846,2437645
2777303,2544295
3708978,1450754
3137253,1398439
3474140,1293752
2774886,1241098
3714378,1239802
3138462,1509053
2762007,1391979
2759075,1301725
2753880,1293694
3528710,1286167
3346404,1298839
2761135,1305228
2774643,1301536
2781249,1310738
2779940,1276065
2784116,1908198
2784997,1755504
3692072,6174647
3125937,1703451
2760862,1406865
2664244,1358597
2126034,2164199
2763303,1438846
2770492,2952881
2764666,1279616
2791672,1248689
2768678,1254849
2767863,1252194
3462423,1267155
2768541,1252401
3739887,1245100
3129709,1244555
2777835,1242904
2776862,1897778
2261831,1482626
2775854,2173585
2651061,2156777
2777700,2348090
2771131,2465888
2780772,2458342
2778848,2704460
2779856,1918815
2774269,1539624
3458571,1474970
2771667,2155500
2781551,2295008
3715840,1452813
3455134,2167124
2778652,2171277
2772244,2164726
2775445,1495606
2766630,1465824
3420954,2164438
3779515,2161506
2778080,2167069
2770767,2168474
2771395,2163316
3483097,2170243
2776752,2127609
2784097,2171537
2721030,2159642
3395612,2174246
3556516,2162292
3164389,2170471
2820477,2169749
2785770,2169819
2780020,2191072
2775165,1476057
2778016,2169409
2026649,2165120
2770030,2165877
2769288,2170510
3568311,2156918
2781027,2165374
2757691,2164725
2759541,2405455
2757439,1461431
2758095,2286172
3471055,1721350
2773688,1253285
2782523,1475658
2784143,2173987
2725728,1773711
2784604,1599765
2773328,1518360
2782922,1802705
2785128,1528919
3691888,1382216
3145461,2161233
2784958,2165236
2784656,1530011
3685003,2157821
3127558,2159282
3344178,2610173
2656676,2459456
2769442,2596823
2774007,2463463
2773373,2436876
2773576,2153545
2780418,2182758
2776195,1476947
2779241,2160360
2136761,2163145
2772314,2160401
2782996,2180765
2776144,2435382
2774601,2464813
2777163,2466737
2758117,2606686
2775317,2465845
2777953,2249648
2684491,2153392
2776643,2154316
2783025,2158788
2778085,2159943
2771854,2281433
2772769,2171160
