eg,ch
62162,84678
72076,81840
79135,82180
74669,77022
52120,86950
73861,80192
65414,79540
75129,80420
70601,81506
65012,78608
42190,93766
57269,89838
40330,87534
67529,89638
72042,81434
40777,76590
70105,138124
71016,78474
68025,78460
73723,123678
64613,77744
61239,88008
69362,87692
50863,77740
68468,78390
71919,130636
60489,80102
53385,78070
67353,128938
41575,77710
66081,166780
72411,93806
40803,77762
72614,78752
71583,78288
63003,76542
50642,78230
53097,91570
69602,80456
55658,80480
71172,87710
71153,76952
40758,80442
74171,88310
60671,79150
69158,81680
76247,75242
63465,78172
70676,86902
69726,77046
66740,77768
40039,48528
40019,79374
68384,96340
43330,79252
68074,87246
73177,75352
91522,120862
63698,77734
79701,127846
72480,76660
62789,91106
62602,121926
73427,145676
83496,81734
39543,76704
76296,78104
73365,89152
66492,107250
40030,79928
75609,74778
39598,77476
64058,78742
62242,77574
71652,77188
40424,100752
68165,123088
64760,80760
72340,45361
77865,76290
70143,76588
60092,88172
68566,81102
52872,78560
46614,109812
41013,47734
40031,78804
69463,75176
66764,87984
55233,84488
48577,81620
76203,81953
48702,77058
69665,77968
58046,91704
73618,92796
131355,77610
67380,113724
70484,76570
66937,75320
71362,113222
44782,76782
69642,82414
66817,79786
73434,89804
69529,78594
81863,77260
68023,79726
85827,80760
78209,79188
134942,89664
73256,86930
65932,78330
68462,89190
65896,78716
74373,79730
80747,78510
119015,47203
68196,89528
94674,76688
64750,48211
70844,85834
84275,72312
71904,46910
74853,96790
39952,77360
70326,76538
40523,93104
79220,78416
75650,77856
75282,89556
72805,78378
59862,76902
39487,117204
40685,79262
49021,75062
108880,87882
71801,88442
71587,77826
40666,87870
40401,95037
77435,101218
69335,76486
72922,57578
41304,77236
74507,70131
75402,57617
41197,65340
40900,52531
40012,84236
80655,80151
78218,97718
73686,47091
74502,168348
39467,99209
38710,69941
68437,74881
71324,78450
76853,82952
72979,78946
40001,117444
39906,83356
39258,81112
76016,78840
68101,108208
62627,78302
72458,77158
40758,75628
40921,88944
74725,98016
53614,102834
76986,86512
64921,76398
63879,82316
84577,78480
70960,79704
61607,77704
88522,89932
67773,76136
68579,48170
40053,79330
41154,79118
68641,87524
42675,102056
40536,95436
40156,76562
42454,79596
39600,107163
40606,75566
65630,89714
75674,87610
69744,112570
39727,93050
40700,78906
58266,79448
48188,89670
65654,76614
44148,77426
39674,78470
60540,114132
41676,80584
67990,78230
65902,87252
69862,113206
71210,88672
66104,89464
64737,83306
77904,78194
75299,79586
73574,76634
70212,99222
71662,90868
72624,80860
71795,79360
45996,89324
67128,87330
41591,115412
89018,76242
106254,122548
69271,80506
73031,77142
72874,90236
69358,78878
70508,77720
70449,78076
72300,80628
71406,77056
72302,77354
74367,95017
72775,95245
152264,94600
83012,116770
74931,79436
96086,90774
73416,92743
73889,95735
71092,94691
113868,93860
69845,93223
78928,94338
84387,95077
42138,93457
69118,96086
66575,96455
74198,98034
62544,93951
66253,95529
41869,138960
39989,92931
43257,96348
71404,91520
41260,114452
40376,94977
41207,90366
40347,97929
71844,93429
193043,93566
71097,94320
50745,196937
46921,89940
87832,95320
102130,93923
77250,101654
77810,96329
91470,92651
48002,93754
78618,94451
77828,91620
80487,95477
77342,102709
89260,93877
77828,95286
79430,93135
88994,93138
93720,95157
78005,92246
77332,94397
77920,94460
79040,93057
77950,93152
87428,95026
78620,92026
77572,116820
78232,93348
75142,95911
88047,93657
76578,93726
99315,100308
77610,94617
80692,93657
76363,95111
46267,121514
81910,94171
77123,95440
77450,134066
76333,95523
75232,95728
77627,91203
77047,149483
92860,94432
77300,81356
222543,65655
90264,61252
77948,45361
91340,40799
77745,43533
130770,52910
77692,60636
76623,39133
77990,42700
76908,56755
79158,52324
77325,57124
103250,38854
75370,46885
76140,62297
77313,58511
76875,54111
75640,40594
78378,54820
74868,53419
77110,45814
76775,60469
89594,61723
89105,39227
89000,57732
75610,56251
77153,39032
92745,39502
63252,63887
57991,56700
78830,65339
77878,51813
78360,63828
77180,38747
77253,53803
