eg,ch
37761,84790
46355,84000
78105,88456
78745,79840
78295,95563
78708,97323
105780,88506
88997,90800
89290,90700
78655,104030
78140,78120
76863,99230
89112,87826
93006,78300
97191,78236
77345,136907
107880,74160
78185,56480
77963,69273
88460,54784
78045,78370
78303,79422
135795,87412
77900,80146
83080,203750
79660,80734
218115,78728
90863,78262
76328,79860
77195,80684
90255,81080
89267,77842
89392,79664
77875,93934
88925,89380
77475,88728
88978,90758
77380,92136
78312,81298
89247,87340
97926,76822
95470,90090
76315,126416
77650,121486
77635,49855
163935,90104
90685,76234
114072,78920
77315,109518
75692,77260
89755,88096
77520,85508
88825,75810
76690,77270
78695,77258
77962,76876
46385,103472
78645,88438
89622,86856
89295,85020
75743,84048
113065,58994
80118,69356
47717,42225
47060,42117
90138,41461
95702,38304
78475,79880
79295,88206
84169,88730
47080,77304
88723,109836
120628,77102
79847,77172
100795,76096
76533,115266
46742,87574
89065,88920
88803,79754
88562,80714
88468,77288
83990,78340
78497,81552
80900,88380
137382,77334
91687,81374
89575,108360
164195,76050
79203,78742
77847,76316
76873,76690
80915,78048
87130,86396
154560,80712
80420,151026
131838,78774
45643,88418
48773,77148
70514,76140
42485,69344
61059,90116
72914,78106
55462,86656
63586,76526
60561,88770
67907,95944
59865,76378
39881,78922
68855,76300
63282,81804
54161,77748
74904,143578
65282,76438
67140,78994
68544,77900
67670,91359
63140,76196
39455,87084
53980,76428
63340,88608
41055,75040
56327,77874
69017,88782
71832,76700
63325,88286
67366,78026
51616,76068
53520,131419
51129,77974
62909,88158
76435,139792
52433,77478
39597,86986
40080,76578
67484,77840
65990,86768
47818,77658
51393,88170
43535,86886
62845,88364
70363,78500
48804,76112
71167,123903
71993,94609
60921,92065
40351,93623
57391,94554
63455,97703
62147,94283
60789,89717
72150,140071
59484,96617
59690,92420
41476,93317
51643,135789
39959,95825
41748,91197
80003,93280
71681,94963
89058,94040
88670,92754
77250,96085
88940,94034
79215,92523
78435,95085
77873,98040
77363,92372
117203,156580
88725,94757
88803,92825
77453,92606
87185,93889
77855,92471
77080,94377
118128,94254
46531,92037
77313,96657
77630,93797
88620,96514
77485,97835
77960,94266
88555,92175
95975,96000
77730,96914
89085,92460
78397,92951
95138,94597
77632,117066
89335,92414
78203,97057
77993,92122
77345,95149
78630,95318
80745,94126
78280,97497
77565,93700
93459,95003
95757,94143
101474,97757
95913,94697
95705,93597
113108,95146
96163,95297
95710,122290
96093,163243
146314,96523
160723,94212
126557,91835
80512,92951
116508,141263
87997,92092
130442,93032
77820,94391
89175,127840
88765,93834
126050,91346
128255,93052
56211,94323
78293,92892
80810,139246
184450,97512
88730,91909
78175,122906
137027,141289
78275,81844
79315,101280
87495,79720
147525,105522
77565,76814
91615,90460
78835,88532
77758,118080
78518,48874
94748,79480
77632,87484
92128,81916
78723,77922
