eg,ch
1830576,2490362
2196939,2485843
2803154,2471196
2799389,2478880
2801937,2565817
3410242,2555056
3540353,2475037
2794660,2473750
2805342,2476560
2793457,2490606
2810865,2490190
2792643,2489097
2052576,2482720
2791794,2464222
2802978,2485423
2157360,2446215
2796244,2305232
2157427,2165996
2790994,2168030
2795054,2168392
2792022,1464411
2793335,2166811
2792707,2168698
2787849,2166715
2661398,2168328
2781555,2185353
2781734,2167555
2800118,2166409
2781407,2167757
2143661,2182438
2780436,2207685
2779761,2178476
2779742,2156087
3489333,2567804
2807416,2475623
2788503,2473936
2789332,2607620
2807145,2479010
2809006,2424065
2799887,2463844
2794307,2519614
2793320,2475520
2063798,2475508
2792391,2475117
2796720,2475980
2794106,2479706
2800895,2470560
2792215,2469373
2795697,2475687
2155430,2474917
2793923,1460476
3389823,2176895
2810846,2170391
2787612,2177541
2795544,2178186
2910230,2177376
2157182,2608584
2787163,2468822
2159325,2473680
2801141,2465542
3375111,2640090
2808741,2430917
2789261,2574570
2799346,2455852
2822999,2463800
2785349,1787258
2802904,1472630
2725119,2171781
2788910,2171122
2151549,2169597
2789746,2170439
2791418,1466608
2696977,2163864
2790259,2170744
2097920,2176170
1889247,2167196
1926056,2166828
2159963,2175939
3621331,2174101
3532047,2175861
3131516,1483263
2790955,2192450
2788464,2177347
2142653,2176719
2783045,2169779
2778731,2182513
2711497,2166726
2774025,2176471
2778371,2171238
2780391,2176709
2779364,2182363
3499353,2196374
2795940,2177067
2750321,2170965
2819173,2408787
2792789,2476007
2831239,2476520
2788935,1770136
2795813,2176177
2793348,2391706
2801406,1477124
2596820,2168210
2758629,2452882
2796715,2475793
2876636,2450840
2837652,2477095
2802716,2477224
2786653,2606858
2801445,2472526
2787616,2476985
2265069,2474196
2154071,2465204
2800407,1970467
2788775,2166552
2828508,2168618
2798885,2444862
2790735,2475750
2785808,2577680
2796725,2469704
2719793,2507106
3534276,2477397
3180692,2477575
2797095,2456613
2107567,2473784
2795224,2472752
2794378,2474050
2793052,2474132
2795280,2454400
2781637,2477580
2167634,2478233
2794208,2026978
2793101,2167283
3486126,1465926
2801401,2167492
2786994,2167591
2755335,2168409
2142708,1482063
2146166,2166779
2785224,2164903
2783698,2165607
2785843,2171888
2788493,2175431
2789054,2182754
2784796,2150521
2781604,2177374
2779897,2175099
3560180,2166415
2803499,2177107
2579539,2406980
2791813,2475917
