eg,ch
16,70
29,55
24,56
21,51
24,55
25,55
27,55
26,56
77,57
48,54
49,55
48,55
48,54
51,55
48,54
52,55
48,55
49,54
51,54
50,54
41,54
43,55
41,56
41,55
41,55
41,55
41,55
41,56
40,56
41,55
41,56
41,55
46,57
49,56
49,56
104,54
51,54
50,55
48,55
48,55
48,56
51,55
50,56
49,55
53,56
49,55
50,55
49,54
51,55
49,54
50,55
49,54
51,54
50,55
49,55
49,55
49,55
49,55
49,56
49,56
49,57
49,56
49,55
49,55
51,54
49,54
105,55
67,55
40,55
41,56
52,55
38,55
40,91
41,99
41,49
41,73
40,68
40,78
40,89
41,60
40,26
41,29
40,28
101,29
48,29
40,29
53,30
42,29
41,59
52,46
41,45
41,46
41,46
42,46
41,46
41,55
41,55
52,55
41,56
42,56
40,55
41,56
40,55
41,55
42,55
58,55
40,55
41,57
41,54
52,81
41,55
41,55
41,55
41,54
41,55
52,55
42,56
41,55
40,55
40,57
40,55
40,54
41,54
41,55
41,55
41,56
50,55
42,56
41,55
40,55
40,56
41,56
42,55
42,55
41,55
41,54
40,55
40,54
52,54
41,54
40,54
41,55
68,54
48,54
49,55
49,56
49,55
49,55
49,42
49,46
49,47
49,47
49,40
48,46
50,82
48,60
48,47
48,46
48,46
48,46
48,45
48,46
48,42
49,47
49,49
48,46
49,46
50,46
49,46
49,48
49,49
49,48
49,46
49,47
48,56
49,47
49,46
48,45
49,47
50,46
49,46
49,47
49,47
48,43
49,45
49,47
49,46
49,47
49,46
49,46
49,46
49,46
50,90
49,46
49,47
49,46
49,46
49,57
49,57
49,47
49,57
49,46
50,46
48,45
48,59
103,46
49,46
49,46
49,56
50,46
49,45
49,47
49,47
49,46
49,55
49,55
36,49
36,66
40,46
41,46
41,45
40,47
41,46
40,46
40,46
41,46
41,46
41,47
40,46
40,56
41,56
40,55
41,56
40,56
40,55
40,56
41,55
50,55
49,55
42,55
44,57
41,55
41,55
41,55
41,55
40,55
41,56
40,54
40,100
40,56
40,55
96,56
42,55
40,55
41,55
51,54
41,55
51,56
51,55
40,56
51,55
51,55
41,56
52,56
52,94
51,55
41,56
41,55
41,55
41,57
40,55
51,56
51,55
41,55
41,56
42,55
41,56
41,54
50,55
41,56
40,54
41,55
51,55
51,54
52,56
41,56
51,56
52,55
41,56
51,54
52,53
40,54
51,55
41,56
52,55
41,56
41,55
51,55
52,55
52,56
51,55
51,56
41,55
40,56
41,55
41,55
41,55
40,56
40,56
51,55
51,55
41,55
41,57
51,55
41,55
40,55
41,55
41,101
41,56
51,56
51,56
52,54
41,55
52,55
41,57
41,64
40,55
51,55
51,56
41,56
41,56
51,56
40,55
51,54
41,56
41,56
51,57
40,55
40,54
40,55
40,54
41,55
52,54
51,56
51,54
51,54
48,56
52,55
52,55
51,56
40,55
51,54
52,99
41,56
51,54
51,56
40,55
51,76
40,56
40,56
51,55
41,56
40,55
52,54
51,55
40,54
41,56
51,54
51,56
51,56
51,55
51,54
51,54
51,55
51,55
87,57
52,56
41,55
51,55
40,56
40,54
51,56
41,55
59,56
51,56
51,55
41,55
52,55
41,53
54,57
51,55
51,57
52,56
51,55
41,56
61,55
49,55
49,54
49,55
49,57
49,56
49,55
49,56
49,55
49,56
49,55
49,56
50,56
49,55
49,55
49,55
48,71
48,56
50,55
37,55
51,55
51,55
51,55
51,55
42,56
41,55
52,55
41,55
51,87
