eg,ch
53984299,28431675
43777389,27655321
43852120,27750714
44001594,27991694
43482427,28226214
43187808,28452212
44165273,28541666
43999156,29396517
45508454,28434968
45076423,29397720
43865607,28129769
43852549,28807296
49606259,28337502
44881395,30388323
48322386,28144919
47669421,27888218
45494432,27959030
44503403,28365114
47175914,28553100
43980295,28434021
43738671,28726690
43935319,29750512
43983481,29002004
44141101,28369022
48165226,29453527
43808933,29259837
59714204,28783934
43980820,28150275
43828543,28318730
43696736,28286694
43818631,31052589
44013680,28859392
44447522,28009900
44164058,28547461
43959319,29007606
44365342,28039988
44340358,27923182
58445353,28604239
43691557,27670685
43460679,28115559
43664373,27794859
43508453,27634917
44155335,29838848
43790772,28245503
43999615,29317002
44489283,28485265
45541762,27977381
77365581,28602560
43808031,29499853
43535566,28105666
43492049,27845792
43676568,27951279
43613890,28042945
43490017,30793578
43496323,29087250
45244386,29398528
43734780,29368079
43559206,31739964
43960188,28671298
43626088,33742440
43649460,28968555
58334691,29213431
43654690,29946155
43701716,29375098
44263775,29121441
43974452,29172726
44550870,28751173
44976827,28659746
43646045,28528547
43775200,30523810
44298269,30109905
43701470,28477468
43765096,28987014
43678035,28156171
43758251,29244486
71581576,28556605
46166509,28456481
43703166,28280961
44630313,29934196
47536213,32215992
43666646,28372620
43941228,29243816
43487507,29093812
43703225,28676900
43610162,29433908
43784347,29340473
44084010,30130456
43633931,29317607
43869586,29984917
43696264,28572600
44061555,28592229
44475665,29363914
43631566,28626999
43683075,29017816
44461869,29012352
43709062,28602880
48608639,28934457
48172934,28631958
47547267,29224915
43725393,28722750
49707635,29446522
43587114,30288153
53360127,28782499
44002066,28969558
49574628,28819141
43548988,28131308
49999695,28060571
43999516,29007170
50027849,28581900
43474365,28947812
49920805,27957917
43505603,29228776
49627274,28133463
43795647,27971199
49779630,28151187
43561753,28571595
47440839,28287864
45208003,28546254
54628708,28619762
43497669,28532434
43447688,28141454
43481918,28756353
43488284,28001462
43600826,28053483
45512979,28341338
44828026,29103677
44027788,28212556
44048234,28344651
43711178,28682671
43633761,29614854
43611227,28466100
45960409,28208548
43401161,28567885
45799095,28437349
45903800,28217825
45759635,28149960
44269935,28210434
43858680,28021556
53443040,28494749
53119417,28387496
52382087,28804952
53263972,28362073
56677795,28365304
52520226,29539723
52505632,28406257
43594605,31225211
43508261,28730709
43829218,28540058
44692551,28137249
47892058,28045775
43993233,28397234
43975859,30387664
43886782,30105719
45645843,29063439
44470944,29071234
45212586,33728720
43996726,29626774
46799746,28984728
47518655,28472391
63304770,28387173
62951845,28248824
43654225,28244472
43504580,28137591
43596032,28223332
44800177,28175718
43679393,28430794
43612424,28216614
43898122,28353102
43790097,28809632
50694625,28548607
43754937,31914086
43804768,32815131
43709637,31197582
43659133,28762007
44076145,27892756
43638417,28294425
44428350,27891087
44036336,28082087
44628460,27975984
55333770,27782309
52514018,27657875
50282745,27668557
47728514,27658314
43585232,27712318
43644132,27813407
43520825,27859559
44216370,27936193
44226067,28057584
44069949,29152109
43764177,28502262
48326163,28213617
45813363,28558575
45774329,28533485
54959470,28652899
69701057,28298557
56619882,28937416
49547779,28884286
60634039,28630375
48162806,28458736
55876786,28720448
65117451,28641106
50113108,28345558
46773893,29862109
