eg,ch
79491365,52371628
78540915,50705292
79754526,49440883
107238452,54949304
103013835,56411894
97902809,52985902
102779208,53041882
89242247,50306766
75956286,61369340
99006117,51936735
75212159,50398497
75493013,50826763
79242723,53388129
77036065,50195682
77202211,50420576
76646229,50959507
79373515,51785196
78568894,49154995
77314453,50676798
80876131,50865684
105195459,48794446
80210991,48762634
83347132,59695679
77617257,50729922
76069598,51141170
76572489,49512333
81432153,50393632
76815679,50053722
80351374,52843728
78550487,50156467
77196558,49439555
77089686,49756967
79145370,49480212
80015599,48589318
79219942,49318627
83529759,48956011
87670039,49292943
87375865,50268437
82598607,50118159
102945108,56712098
80849705,50932774
79174425,57276100
84651687,48865428
77919822,49253060
78618152,49487927
79871887,50206161
83759611,49546112
77915570,52049290
86373055,49924341
78093934,48589146
