eg,ch
373626531,193397704
313050657,193111203
519624130,197051861
432842030,203056428
389901136,218619050
418240769,193970720
341335862,199684863
341441302,197802013
318154809,205075871
355652441,207607169
325341612,217195389
336207260,192554023
383968819,196628998
320083386,192113780
325327730,193375130
324663003,205208705
386415487,232016397
332779275,208184752
339293877,208839351
387775589,205538609
385463974,195826431
336878712,250107318
320178525,216005878
385646827,214979151
336748568,207678168
330794326,193428926
384592850,201597849
330123979,222218383
341404059,194952902
335712023,195252239
593581521,201990336
329419618,199228169
318957723,205268021
355840487,220173996
335519483,194427635
328030969,196557735
313247713,194494468
373222729,192126879
312895642,205187419
314261369,226221641
312977068,201094486
354645626,197495096
313512143,205380345
319589753,195419536
367122720,207257792
332475481,229757731
312758415,202926664
307737013,212041154
374779221,210207904
313879249,193374874
308093325,240428239
305926666,217038496
361280038,205218152
311109379,194782606
306040054,197929125
342997985,193457643
341514255,227791564
309243963,193447881
311049651,193311829
395398038,193306329
331591324,196381877
323601495,191842150
316432601,225066780
367418235,194847099
320771142,192897428
319325820,199499373
390905287,196529444
343717654,195547994
320663826,227230400
325295306,192983169
370683731,197034170
313250519,198469762
307882086,197582025
334515860,193499872
341725595,226983007
336199051,196187781
338966835,194176562
413043413,191587753
346158040,207951953
341191451,215013713
357793821,228919682
368045894,208263600
335847902,211934089
331226691,202736568
437850174,199024334
355070216,213197639
328712352,221799448
344948871,205683123
364807538,192872518
319499398,193671074
323004922,193994740
377302897,200200853
342331245,214824654
336910655,198815413
332914354,193664938
387984943,190698282
333450754,194056956
338179824,200989675
389301368,206862561
346557079,193032214
