eg,ch
14613,20249
15358,16984
14992,17516
16380,18987
15621,16817
16674,16820
15207,17874
14786,17600
15415,17197
15557,17189
17228,17705
14672,18119
15490,18061
15481,18636
15554,19063
16343,17777
14649,17598
29296,16608
164851,17503
301428,17395
67774,18535
25128,17384
25664,17515
25828,18196
25345,16820
25832,17492
26372,16998
26261,17461
25315,18093
25834,16931
26235,18856
25666,18117
25630,18830
24788,17661
25982,17167
25838,17989
25822,18976
25982,17319
25240,17116
25338,17471
25439,17490
26022,16946
25457,16956
24840,17758
26225,17458
26570,17948
27534,16948
24903,17236
26778,18914
27774,17993
27410,18039
25192,17673
25026,17971
25573,18527
26345,18357
27568,17474
25766,19621
25999,17889
25905,19690
24940,16946
25182,18107
25056,17266
26557,17680
26092,17155
25878,17735
25228,17072
26015,17875
26420,17690
25114,18431
25365,17613
24933,17524
25340,17687
25996,22220
25269,18036
25833,18800
25847,18287
25218,17344
25338,18307
25648,17846
27045,19464
25668,19318
25839,17834
25956,17919
26046,17228
25340,17917
26775,17233
27483,18056
25716,18088
25693,16845
27008,18340
28361,16742
27749,19165
27963,18229
25594,17250
25045,18322
25926,17236
26011,17443
26611,16829
25958,16783
28064,17206
