eg,ch
88240,62746
84748,38421
55788,79885
55417,40275
55280,56786
55449,51039
55827,37643
55499,39998
55645,38506
61728,39626
55610,63202
87560,44038
55603,36912
55270,36874
58595,36846
60749,38631
78220,39513
56034,39253
56191,57562
56116,48641
56147,57099
55466,37311
55745,50282
123059,36645
92978,36318
55720,43646
102309,38021
56304,39217
55846,36867
55496,37321
55340,43386
55512,39160
71090,41434
55628,75249
57943,38339
55382,43736
60082,37082
56096,36883
53095,37896
52967,38725
55805,36531
64583,108273
55920,59696
55042,59010
55570,59763
55294,61023
56061,38271
55512,39689
55950,37112
72367,38856
55779,38685
55407,37766
55637,37420
55382,52856
73069,46326
60493,36942
55691,65486
55714,38578
55785,37152
55605,37887
77876,56156
53045,64360
52909,39987
55391,62120
55564,40221
55670,39465
55637,37793
55743,50002
75694,37057
55351,39102
55243,40450
55810,37194
55567,37123
55550,37536
56245,38464
53460,37134
55447,36870
55561,35726
56183,64916
53325,48846
55629,44002
57636,35418
56183,36860
52963,36699
52963,35603
57957,36511
53303,42894
53328,36797
55826,36391
78825,36643
56003,35397
53786,36614
56101,36602
58560,37266
104693,37028
55128,37688
56039,36411
55920,36778
55586,56520
55570,59159
62702,36979
55784,37889
59412,52362
53141,56877
55729,57387
76301,50595
79957,38813
55501,36875
80006,41207
66146,59960
55830,39664
55666,37589
55649,37459
102661,57033
55782,37908
99613,36579
103123,36034
55420,35661
55523,37680
56158,36333
68499,62693
55448,36835
59797,35929
53323,35775
61095,37424
55898,36659
63150,35420
54094,36403
56147,35486
55835,38050
55843,37357
56047,55815
53491,43556
59720,36397
59857,37299
55912,36496
55788,42589
56125,36785
55855,47139
55278,37487
62184,37278
56080,48985
55797,36012
55949,37214
68059,36394
55453,37181
55680,36039
74251,36531
55475,36536
55496,37648
103806,36923
100261,75646
55925,35999
55583,56798
65616,57464
56618,36356
56978,58843
58120,36704
57228,37365
79474,37450
57594,42804
56378,37707
56904,52762
56694,68791
56946,44053
81720,37262
56882,37584
73606,37004
56831,37021
57314,36559
58339,36272
57072,57881
56755,35975
56733,53789
57760,35736
71872,35022
107065,34875
54687,35376
57211,36583
79392,36890
56344,36689
56947,37014
56249,36058
57960,36410
54797,44676
54280,36167
54681,37109
56465,35732
55355,34828
54493,35314
57861,34815
57531,36665
57074,35746
54728,35315
54525,37302
54939,37345
56815,36144
57107,64952
57003,36336
57360,36928
57272,37453
56290,38121
56802,36844
57553,36585
53835,36541
56597,58790
55938,78454
56581,55327
56069,58944
57128,37247
53773,72096
55889,37498
56159,35906
55464,35844
56654,36277
55904,85807
56192,41141
56259,39119
56213,58411
61925,62288
56298,63619
56392,58826
54037,56304
55803,55702
61440,38528
55537,37845
55768,36868
67854,37584
56320,58984
115373,37557
56455,54629
56321,47638
56442,36574
57114,36817
57098,56632
61818,36568
128983,59089
69890,39005
56480,35885
53910,37519
56146,36952
56368,39239
56183,37515
56801,40749
56810,54488
56304,36843
56704,36522
56639,35851
57978,37424
55505,37456
56217,37932
53331,36783
53019,43762
55556,36855
70392,39482
55717,37124
56096,38084
53059,37275
81130,36006
66128,37471
55746,51911
64320,59141
55627,57284
56021,37578
56282,36979
55599,39555
56355,38227
72462,36920
59362,42554
53477,37656
53223,35887
55621,39229
55407,37149
58842,38099
55798,36645
55459,36034
55429,36410
55954,38099
67920,58675
55455,50610
56056,37274
55865,36138
55984,38082
68912,37947
55707,57870
55585,58846
55507,57695
55666,56789
55964,58055
61024,39450
53718,38345
55955,38018
55872,38369
103667,38482
80949,53312
127435,49807
99857,48059
102421,35579
97391,49986
93893,36323
92848,36009
