eg,ch
31400495,23326763
35241114,22535938
33396011,23989840
52722064,22639252
33825646,22581319
38201259,22437145
41762067,25222933
51882140,23636300
47328931,24573277
107673179,22713449
75095803,22310120
50897270,22513661
55674013,22562673
35313495,22628520
59375839,22321734
70972388,26897040
49462757,23710738
28153972,22435935
29915128,25128993
31861004,22737212
28331348,26028320
31486432,24711570
37990782,25662080
33177769,31838863
39232953,42617641
32254626,42767346
35940268,24428136
35765824,22883094
33280347,22592441
31386527,27205822
31247606,23908443
35120348,22801481
33589535,23138731
32409317,23149125
29585148,22675589
48767205,27704990
32046144,23617683
36616631,23060832
37784544,23480850
41040593,22573357
39837471,23411645
39780690,23998586
41544909,25093331
53585172,22905257
52552194,23858707
55828376,22386234
39941928,22561804
164168206,24272139
152979773,22585350
65062587,23886322
115334561,22725757
195705789,25251165
47031657,25164276
29665957,24446898
32378795,24767525
28805816,22292288
30767042,22848432
46390724,22690825
58268759,22813215
60448410,22419391
50761033,23690203
42586862,22327804
46206963,22801551
39468017,25463692
35146163,24689390
51175801,26287983
101487800,28286616
87113388,26245222
67994840,26182833
35111212,25799325
31909826,25843938
32820459,23225591
32116763,22465923
38354845,22461830
34550344,22482999
32888342,22818515
32419932,22551727
32107853,22602505
31563131,22480860
31196955,22353096
31047018,22307248
31383855,24169213
32725413,22463292
36285186,22317943
36170558,22433463
35361180,23327737
32576780,23264942
30008314,23478688
34280613,22961361
30545906,22595285
31451863,22435980
38010463,22944874
31400989,23537872
31614481,24914521
56399102,23350107
125427478,22409558
70942167,25285292
76071249,23343686
61847381,27235983
35494436,27701842
38736963,24716945
34467693,22747994
33636419,24901770
47651816,22406128
37959123,22768260
43427080,24587204
75938832,24352271
45285042,22503510
46515003,23302101
59177490,22651131
51757327,26356918
60046959,27681360
47980324,25815401
48923022,29489148
40156335,27049630
36913024,25968759
33960416,25470246
37175260,24210786
40546679,25867449
38064443,25305149
43156195,22578006
46596996,23696003
93987585,23055634
72875002,22870540
64836772,22363824
71796196,23259909
196513881,22673555
78691166,24315711
57403828,24570572
30344393,22560943
31813686,25229276
29968979,22938745
30875753,24028439
33489980,25913694
30195688,26228664
30283219,26541352
31974853,36016581
30638037,24307936
49877329,26031591
54929945,24548522
42671321,32451228
36602410,24762298
32898307,25492121
33336527,31243552
31791363,31970141
46556730,24931509
45771794,24811033
36643199,35071263
31145132,34428095
32098300,26918690
33682622,30801927
36793701,87534389
32480453,62830557
36269328,133799523
37754424,54912096
53060166,47463483
43225969,26905448
57034119,24175255
70170163,24194713
46973886,26966783
33562341,24439423
47201996,27480643
47106102,24714245
39099218,23720677
35431773,23546682
91428152,26606164
98170314,26048746
45136149,28021419
28230507,24709533
31290194,25417699
29341583,25475660
28808459,29824679
35881562,25158591
32761752,26093157
38974522,26006084
37379016,23643232
32028206,22891606
29381965,25850840
33712953,24375536
31972821,24256659
32314140,24301518
32307043,24187409
32538077,23927092
45491067,23957073
45085218,24373637
47227144,24066049
48568914,23901962
43489751,23437103
47730646,24333940
38044632,25167493
38392339,23295174
35795144,25896033
32252829,30430565
33262911,40378901
29619965,56928575
27770261,59372967
30219385,35933358
30976162,28273766
29975564,26387817
28552951,27752858
