eg,ch
27821756,28446842
28255325,27370901
29994740,27582040
32562751,27073506
30094633,29514194
29412838,25000612
29037724,29108175
28785974,24105508
29557879,22419080
31620496,23802371
29336748,23831065
29098178,22117331
29896815,22243432
29979890,22775665
28735688,22293012
28607535,22192369
28550927,22283353
28393030,22335695
27971767,22324637
29246239,22376026
28686516,22279200
28214056,22120251
30726137,22209814
28581979,22980680
30032089,24008824
33805938,22655417
40214890,22299780
37893834,23173175
39814725,22074337
38394783,22275090
27620747,25005711
28527193,23321333
28132224,22387235
30575642,22316345
29572481,22505274
28264068,22309922
28972839,22313619
28586167,22175424
28406597,22123914
29703157,22327349
31382771,22199012
28034429,22310316
28538802,22123501
30826561,25052667
40255706,22990817
35614016,27854586
40804869,28269460
28848306,26494334
29824791,27314420
30099148,27200887
28513670,25165957
28449787,22490700
28945633,24491672
28234150,22387081
30879613,21864687
27959022,22213287
29973917,22656213
30440867,22339123
27957985,22384045
27972831,24250262
34572531,22345778
38892816,22190410
37787107,22928160
41185688,22932800
40334083,22805598
30351415,22567898
33669356,22077586
71711069,22256100
35774784,22451514
28630171,22174863
32346240,22009827
30251915,22275314
31034912,22190715
30973219,22216591
29458872,21939252
32112987,24556635
29601941,21651669
31632394,22158562
30588575,24229010
29910152,22297839
29995725,24861388
28700922,22498026
33506751,22483126
33050205,23131303
31158023,51792078
30351979,57734504
28591459,26518180
30441604,24011919
28648673,43047829
31668942,34226711
32324168,23152509
28184887,38484466
28928176,49564432
37077510,39853690
42791850,24994027
38349944,25621185
40319893,23216005
39672139,22398104
30024478,24470397
30928640,23426707
28228372,22750498
32678960,24493244
31045361,24260490
33814114,23566696
31605294,23437626
29155817,23460097
32180947,24522687
29961619,27153519
29378197,23387614
32043451,22415305
29242263,22489688
28576330,22153513
32033383,22301845
29367799,23864095
30004851,30538950
34682772,48040294
31549893,41260516
27701509,23177139
29223506,23083840
29906376,22410511
28593949,22733230
28233953,22522585
28168177,24655627
30108203,24608242
29414797,23962003
28950859,22980005
31294648,22784493
29470953,22308931
39292032,24974558
39445815,22883199
39281555,24121778
39862046,27804563
33767011,28101291
28139895,27987454
28907869,28479547
29310383,28598376
28742010,24813463
30135687,22401773
29871762,22335719
30481930,22437780
28732595,22480826
29212244,23293621
29487189,23067380
29038161,23487974
28148058,22594026
27765684,22324895
28078522,22368723
28066830,23338926
29524272,23465271
30519107,24101782
28803893,22500547
29344029,22521444
28636823,23160306
28578652,22848858
28546951,22638359
27942297,25663808
30349542,23178526
29158531,23238172
31321190,22340649
28087173,22443992
31104045,22660546
30189226,22184568
30324679,24136053
31708198,24368234
40784352,22541522
39864834,25802114
39165117,22502036
40526053,24560104
32848507,24913741
30269090,25665767
31309198,23251133
31308891,22428642
28644297,21890010
28251403,22976422
30690561,22629837
28190774,23848039
29420733,26934265
31093299,27366494
29765841,27101898
28550848,26955973
27729818,27281396
28186595,24611793
29789367,24088389
30130881,22381967
28366734,22315802
28393539,22360930
28578842,24287110
33762842,23251504
30402631,22296724
29087491,22341119
28632567,22228672
30720679,25474189
27613162,22316623
28137087,22307954
28352293,23500772
29758197,22760106
29172866,25179072
28217767,23275839
30998404,22207642
37571864,22313822
