eg,ch
2563431,1237507
1792393,1228316
2094976,1227021
3294347,1258010
1911648,1513485
1832925,1237532
1828743,1233101
1827476,1226505
1842754,1358256
1817116,1514833
1956805,1260266
2026269,1230291
1974967,1228848
1842522,1249401
1810467,1228723
1804782,1289634
1806729,1366919
1805450,1230889
1811631,1227677
1802652,1227858
1854324,1227988
1803939,1228822
1829713,1377796
1831350,1318141
1782677,1248520
1826907,1227613
1833564,1228753
1869121,1231155
1825869,1532894
1824835,1548459
1825402,1428050
1832475,1281541
1830503,1230965
1833497,1228105
1831303,1340648
1915300,1269803
1821169,1229019
1817775,1227003
1819059,1230078
1857942,1228074
1843830,1230029
1847856,1383384
1838531,1526376
1837791,1394240
1842080,1234526
1836440,1227677
1834555,1251528
1834285,1552847
1837432,1344779
1830292,1234184
1830004,1229235
1824689,1227052
1835215,1227609
1820435,1335399
1816722,1321767
1813761,1507157
1812600,1440297
1806695,1255261
3154516,1230262
2783404,1311449
2161139,1334199
2160151,1245515
2075904,1228791
2021226,1228720
1971335,1241465
1833705,1228463
2088057,1380160
1981714,1327132
1918261,1501363
1861056,1462660
1805718,1241480
1802761,1262169
1804314,1386552
1803360,1286593
1804836,1234099
1806875,1228188
1807677,1282253
1802109,1247591
1803648,1363438
1800876,1350916
1801393,1231270
1803447,1464748
1801519,1356702
1800115,1236139
1803875,1380316
1800937,1306378
1799931,1240083
1810065,1266499
1801107,1228410
1800616,1227602
1803916,1256917
1803338,1377891
1805821,1264054
1846560,1233430
2662477,1423007
2419719,1398556
2080366,1284746
2081347,1502657
2007497,1287275
1942039,1232553
1882341,1229831
1828973,1228381
1827083,1233648
1830214,1432029
1824532,1295494
1823535,1231673
1820570,1276248
1819176,1455447
1815558,1386969
1812650,1413124
1808601,1352902
1803436,1233801
1801313,1228733
1800887,1227738
1798457,1228449
1795564,1229279
1795901,1376920
1791284,1278610
1789437,1269961
1789681,1228757
1785561,1333934
1786853,1431472
1784241,1555750
1785911,1281930
1785759,1230775
1830705,1228137
1828702,1231495
1827246,1227971
1829464,1392760
1828007,1307627
1829823,1236158
1826536,1230638
1824879,1230709
1825131,1227853
1823263,1910796
1822186,1598634
1824573,1326561
1814182,1243856
1812121,1227763
1807970,1226393
1802958,1362900
1804073,1302225
1797876,1240323
1997128,1240467
1842160,1231992
1792887,1229126
1784206,1292402
1780755,1562630
1782238,1390491
1817240,1235862
