eg,ch
51022763,18925009
43824460,18500865
38966460,18465666
36306705,19639063
35185896,19013079
35106697,18492414
35507305,18419920
36648158,18464967
35287166,18504217
35114030,19184398
35188620,19246906
35095942,19751088
35117731,20379028
35114449,19449724
35100970,18426206
35118220,18411539
35130932,18432770
35169344,18476770
35106417,18410561
35108164,18398968
35101947,18571405
35104811,19130482
35543553,18982070
36752849,18502472
35306023,18451000
35106138,18401482
35106138,18413215
35181916,18718700
35207757,19024812
35136239,18443526
35159008,18405603
35101738,18413285
35108164,18479913
35640841,18487177
35110329,19440366
35105160,18521050
35094125,18400784
35155376,18383532
35650828,18421596
36707173,19117003
35613115,19875335
35110748,20435390
35116824,19432334
35618632,18613239
35129116,18734902
35109281,18616033
35637349,18465177
35116475,18455818
35107465,18458472
35110957,18439196
35135471,18487596
35107465,18501355
35108373,18450370
35134214,18875213
35618283,18612890
36944773,18438568
35485654,18457285
35137148,18482567
35113751,18437450
35108862,18419291
35112145,19061968
35099783,19077682
35109630,18459031
35110538,18467900
35111935,18431444
35106488,18530968
35111516,18834146
35105580,19217783
35106487,19797114
35135262,20157213
35718225,20267353
37005884,19195923
35170113,18664293
35112145,19204095
35106069,19178463
35107466,18594383
35107046,18409724
35105091,18437171
35112494,18412936
35106837,18659405
35112214,19112044
35127720,18497514
35128348,18409444
35138893,19377719
35100551,20039951
35106488,20206172
35619680,20682068
36833237,19136907
35253992,18836312
35323623,18444015
35093986,18432701
35273897,18838128
35108862,19508531
35125904,20162941
35110120,20293473
35132678,19140748
35153142,19086203
35112704,19275333
35137009,18670439
35453458,18648580
35116545,18590611
35100342,18530060
35572606,19126571
36837777,23482621
35720181,21196867
35260278,20023539
35141269,20091703
35108653,18824997
35660956,19862206
35210691,19035777
35162430,18479565
35113682,18406930
35107605,18622389
35551166,19021321
35124367,18439476
35110120,18378854
35110050,18372639
35108164,18375152
35662073,18378924
36951687,18387934
35154120,18510783
35117663,19878897
35177307,18876331
35148881,18388073
35137358,18416079
35106697,18437031
35106837,18799157
35105580,18591450
35107187,18373406
35107675,18372009
35109351,18361883
35104952,19482481
35104882,20859395
35133936,20087164
35118571,18955880
35106767,18392613
35729749,18544797
35133517,18528942
35105929,18654307
36820875,18692300
38345015,18451698
39018492,18436403
36233443,18396175
37176087,19308856
37103661,19131600
37097096,18517419
38097080,18447229
40605699,18374384
37542752,18413425
38129346,18477121
38034154,18430257
38713915,18370962
38872245,18381020
36891485,18404625
35116126,18362232
35105022,18366492
35110749,18862363
35110748,18493184
36016377,18373966
35929355,18370683
35614582,19623629
36199640,20658184
36200128,20634577
35874739,19603864
36241194,19069791
37148150,18452956
36451905,18451489
36317740,18396524
35112983,18371871
35093567,18379274
35107187,18382696
35107466,18351477
35101181,18388772
35691267,18361255
35860282,18394778
36031812,18382765
35137707,18371033
35108444,18373616
35944092,18425019
35707330,18435565
35593839,18377388
35240233,18364676
35108094,18366213
35551166,18380460
35164945,18376899
35711032,18381159
35220399,18547869
35130165,18856846
35804061,18440035
35120946,19663160
35111307,20302903
35400799,19742778
35155238,18709481
35130863,18401274
35093986,18444086
36196427,18391495
36516997,18405603
37086550,18462035
38063766,18375362
38116705,18545565
42722301,18622180
36151380,18716605
37050443,18450022
36637194,18403298
