eg,ch
50999,57227
53862,55212
51512,55315
53280,58396
49395,55656
49518,57022
50097,55312
49665,60661
54891,56305
51810,55277
54012,55212
55789,55141
52412,55633
50716,58402
49964,58195
58335,55178
59796,58432
186710,55238
532667,55567
1685822,55344
227807,56201
87428,55637
86665,57795
89861,58930
91872,55168
92146,55215
85535,58403
86084,55685
88002,55124
91282,55265
89869,55621
89029,55314
89519,55237
84931,58228
90728,55612
89902,55282
84391,55191
85481,55275
89553,55163
83973,55368
91693,55977
85719,55333
85843,55189
85781,55202
84936,55224
86280,58355
89387,58324
88281,55206
86108,55670
87545,55369
85207,55430
86901,55205
86726,55308
83844,55513
86200,55307
92256,55169
85885,55302
85288,55430
87957,55087
87249,54921
85701,55209
87981,55165
89313,55246
85124,57554
85304,55207
85570,55254
85157,55583
86840,62364
84613,58441
90370,57364
88263,55201
84134,55257
84896,55193
87556,55247
87858,55281
88011,55421
86548,57120
85747,55385
87409,55166
86172,55180
86699,55269
91052,58176
95447,57493
101958,54786
90086,56049
91012,58528
94992,56233
84352,57232
86067,58297
90980,55254
84077,56193
87206,57013
88022,57574
90109,56764
85460,58465
84561,55259
87398,57303
89403,58990
87704,55300
87495,58254
85502,58825
88012,56092
84766,57312
90222,61261
85189,55340
86021,58362
91237,54845
86243,58368
86095,55159
88975,55180
88791,55260
85118,55194
88693,58549
89696,55295
88331,55309
87812,55181
91283,58246
89152,55224
87837,57842
84238,55225
91208,55620
87453,58290
87511,55933
88463,57779
86326,56371
85366,55270
88740,55223
89830,58325
86085,55178
84880,55304
89355,55217
84224,55297
88738,57990
90262,55164
90147,57546
84718,55505
85497,55199
86232,55273
85682,58072
90001,55189
86558,55182
87497,56300
85169,54913
85894,55504
89326,55172
89022,55169
89416,54771
85375,55740
86512,57054
87906,55350
91115,54801
88420,55182
87693,55401
85529,57252
84041,55164
87598,55174
89873,56021
88861,57562
85702,55346
86659,55217
89114,55279
86900,55220
86335,55230
86563,55196
86058,54799
88110,56093
86535,60673
90262,55201
91181,55195
85986,55386
85865,56469
85069,54875
85185,57822
92033,59499
90347,55308
88027,58213
86784,55380
89233,55195
86431,55202
88184,55182
85498,55214
84138,57510
88653,55210
85309,55263
86075,55910
88513,58481
87871,55211
87521,55191
85927,55211
88801,55200
85397,55251
91808,55184
85896,55214
86038,55716
85943,57638
88876,55287
89207,61046
85772,56310
85457,54815
85873,60622
