eg,ch
308133347,207660986
306284440,283288097
356436210,218473842
317458268,210931348
305565002,217015776
342339114,192273013
336829436,209052946
305367036,209882193
314037223,192690361
363414861,203088312
314740771,205132244
316114008,199204655
340411317,230503770
393580771,204032112
332759213,194398990
308810167,189553180
362494633,189630403
322671143,193825498
310545480,210873308
305300293,221922357
382922411,201289346
322496732,197122727
317405663,191234187
306162251,204336316
369311876,236931464
313307663,217471774
307776443,203385578
335718542,205234053
350383359,204660180
310108280,196910574
314969990,240496188
375883188,212268588
329872916,205744724
309582637,203729158
312089937,193953485
369124496,201874114
316626730,215573796
316225980,194928571
304967776,198826404
362839748,200853284
307303526,201777206
314114260,212190057
408696515,217827855
337676222,203856579
311128737,197471067
313488733,200036862
363709582,200432881
308697801,213202336
313897648,212242936
338532708,205495067
358630620,198112045
329702684,199609576
324441942,194866716
386149321,240021021
311341378,218697139
309356523,216182813
312183494,199512145
378617997,201064323
315562033,202639742
317699335,217436603
324151683,192989967
354605011,200772264
314654962,198635522
316414829,192292609
370381352,200878673
341595896,221509088
321545983,199486903
311215447,225677978
381159502,198253763
309736175,212262451
312123862,218070372
307155404,217977139
374747513,204057493
315330622,206368201
309002872,192688108
332001400,196920462
354378945,219706550
315514386,206912720
313473965,196614153
374859356,203212330
318875744,201575699
318404822,198389377
315246212,221846148
372549109,196099715
308948480,198867030
309033867,203033387
308398059,200312084
378493965,197306897
338877871,261274832
336815400,207642543
412491010,201942281
444275927,198407837
340733397,196954545
405275027,214445183
345103094,216422288
329465210,203472351
384689260,211075664
418596672,203275899
344920109,192209573
317541713,211250864
